"Timestamp","Station","AirTemperature","AirTemperature","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m","SoilTemperature5cm","SoilTemperature5cm","SoilTemperature10cm","SoilTemperature10cm","SolarRadiation","ETo","ETo"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","°C","°C","%","mm","m/s","m/s","°C","°C","°C","°C","MJ/m²","mm","mm"
"2017-07-05","Ashland Bottoms",31.4,16.8,70.2,0,1.2,6.1,31.2,24.3,33.8,23.6,32.0,6.29,7.17
"2017-07-06","Ashland Bottoms",34.4,17.7,65.8,0,1.8,6.1,31.7,25.2,34.2,24.6,30.7,6.91,8.40
"2017-07-07","Ashland Bottoms",30.6,17.4,64.1,0,2.4,7.3,30.3,26.4,32.1,26.0,24.7,6.02,7.74
"2017-07-08","Ashland Bottoms",32.3,14.5,67.3,0,1.3,5.8,31.3,24.4,33.8,23.5,31.6,6.35,7.44
"2017-07-09","Ashland Bottoms",34.9,19.0,63.4,0,2.7,8.0,31.8,25.7,34.2,25.2,31.2,7.65,9.74
"2017-07-10","Ashland Bottoms",37.1,23.3,60.1,0,3.3,8.2,32.6,27.0,34.9,26.8,30.5,8.72,11.55
"2017-07-11","Ashland Bottoms",37.3,24.9,58.1,0,3.8,8.4,33.0,27.6,35.4,27.4,30.4,8.90,11.81
"2017-07-12","Ashland Bottoms",38.6,26.4,49.8,0,3.6,8.3,33.4,28.2,35.9,28.1,30.7,9.86,13.55
"2017-07-13","Ashland Bottoms",33.6,22.3,72.5,0,2.9,10.9,32.2,28.4,34.4,28.3,19.6,5.69,7.43
"2017-07-14","Ashland Bottoms",32.0,21.5,75.7,0,1.4,5.7,32.5,27.2,34.9,26.9,26.3,5.66,6.41
"2017-07-15","Ashland Bottoms",33.3,20.8,72.4,0,1.2,6.3,33.4,27.3,35.9,26.9,28.2,6.05,6.84
"2017-07-16","Ashland Bottoms",34.2,20.9,67.0,0,1.3,5.9,32.8,27.5,35.1,27.1,25.9,5.89,6.89
"2017-07-17","Ashland Bottoms",35.2,18.0,59.7,0,2.1,6.9,33.3,26.7,35.9,26.1,31.0,7.36,9.24
"2017-07-18","Ashland Bottoms",35.4,24.2,56.9,0,3.0,9.1,32.7,27.9,34.9,27.7,25.3,7.36,9.70
"2017-07-19","Ashland Bottoms",38.0,25.1,54.9,0,3.1,8.2,33.8,28.3,36.4,28.2,30.1,8.77,11.60
"2017-07-20","Ashland Bottoms",39.3,25.3,50.3,0,3.1,7.9,34.3,28.7,36.9,28.5,30.1,9.25,12.49
"2017-07-21","Ashland Bottoms",40.6,26.3,46.1,0,4.0,10.5,34.2,29.2,36.6,29.1,30.4,10.60,14.90
"2017-07-22","Ashland Bottoms",40.1,21.6,54.8,10.16,2.9,9.2,35.5,29.4,38.4,29.0,27.2,8.34,11.17
"2017-07-23","Ashland Bottoms",35.4,19.5,68.0,0,1.2,5.3,32.9,26.9,35.0,26.2,29.4,6.47,7.59
"2017-07-24","Ashland Bottoms",33.9,21.0,67.9,0,2.0,5.8,33.7,27.1,36.3,26.5,29.2,6.64,7.96
"2017-07-25","Ashland Bottoms",36.3,22.2,63.1,0,2.5,8.6,33.8,27.8,36.4,27.4,29.3,7.58,9.62
"2017-07-26","Ashland Bottoms",28.2,23.1,87.7,21.08,2.1,7.5,30.4,26.7,30.2,26.5,3.8,1.88,2.54
"2017-07-27","Ashland Bottoms",29.8,22.1,78.3,1.27,2.6,6.5,29.3,25.9,30.6,25.8,21.6,5.01,6.08
"2017-07-28","Ashland Bottoms",30.8,18.9,72.6,0,1.5,6.6,31.2,24.7,33.4,24.1,29.0,5.90,6.81
"2017-07-29","Ashland Bottoms",28.7,17.6,70.9,0,1.7,7.1,30.1,25.2,32.0,24.5,25.1,5.14,6.07
"2017-07-30","Ashland Bottoms",28.4,16.2,66.7,0,1.3,4.9,29.7,24.6,31.6,24.1,25.1,4.97,5.81
"2017-07-31","Ashland Bottoms",24.4,16.8,83.1,1.27,0.8,3.4,26.9,24.3,26.7,23.5,10.5,2.34,2.62
"2017-08-01","Ashland Bottoms",30.2,14.9,74.9,0,0.8,4.9,29.1,22.6,31.3,21.7,25.4,4.84,5.43
"2017-08-02","Ashland Bottoms",31.7,16.6,70.6,0,1.0,6.6,30.0,24.0,32.1,23.5,25.5,5.14,5.86
"2017-08-03","Ashland Bottoms",26.2,17.6,70.3,9.40,2.9,13.9,27.8,24.4,29.1,23.8,26.2,5.35,6.65
"2017-08-04","Ashland Bottoms",25.4,11.6,60.6,0,1.3,6.0,28.6,21.7,31.0,20.6,31.1,5.32,6.27
"2017-08-05","Ashland Bottoms",25.8,14.6,80.4,85.34,3.4,9.3,24.8,20.8,25.1,19.9,16.5,3.91,5.12
"2017-08-06","Ashland Bottoms",22.6,16.7,90.2,0,1.7,5.3,23.0,21.2,23.4,21.0,7.5,1.86,2.20
"2017-08-07","Ashland Bottoms",25.7,15.6,82.6,0,1.2,5.2,24.4,20.8,25.4,20.3,16.8,3.44,3.99
"2017-08-08","Ashland Bottoms",26.8,15.0,77.6,0,1.0,4.9,25.1,21.3,26.6,20.7,21.5,4.07,4.61
"2017-08-09","Ashland Bottoms",27.1,17.8,78.4,2.29,1.2,7.9,24.4,21.9,25.4,21.6,17.0,3.65,4.27
"2017-08-10","Ashland Bottoms",28.1,16.5,83.5,3.30,1.1,5.6,26.7,21.9,28.4,21.4,21.2,4.03,4.43
"2017-08-11","Ashland Bottoms",27.1,17.3,75.0,18.03,1.6,5.3,27.1,22.5,28.7,22.1,28.2,5.31,6.20
"2017-08-12","Ashland Bottoms",27.1,14.4,76.4,0,1.2,5.3,26.1,22.1,27.5,21.3,22.6,4.32,5.04
"2017-08-13","Ashland Bottoms",29.0,15.7,78.2,0,1.3,4.9,26.1,21.9,27.6,21.3,23.0,4.57,5.34
"2017-08-14","Ashland Bottoms",32.0,20.4,79.7,0,2.0,5.3,27.6,23.2,29.5,23.1,20.3,4.87,5.97
"2017-08-15","Ashland Bottoms",31.0,20.3,77.8,0,1.6,7.0,28.8,24.2,30.9,23.9,24.5,5.16,6.01
"2017-08-16","Ashland Bottoms",27.6,18.2,79.7,13.46,2.2,16.5,27.3,24.0,28.6,23.6,21.6,4.46,5.35
"2017-08-17","Ashland Bottoms",29.7,17.1,70.8,0,2.0,6.9,27.6,23.2,29.2,22.7,28.6,5.91,7.30
"2017-08-18","Ashland Bottoms",32.0,18.3,69.7,0,1.6,7.3,28.4,23.3,30.3,23.0,26.4,5.61,6.73
"2017-08-19","Ashland Bottoms",33.5,16.4,75.5,0,1.7,6.5,29.2,23.7,31.3,23.2,27.1,5.79,7.00
"2017-08-20","Ashland Bottoms",34.7,19.6,69.2,0.51,2.7,9.0,29.4,25.3,31.4,25.0,24.8,6.26,8.05
"2017-08-21","Ashland Bottoms",33.3,22.2,78.3,4.57,1.8,14.7,28.0,26.0,29.4,26.0,12.3,3.71,4.76
"2017-08-22","Ashland Bottoms",27.6,13.1,70.9,5.59,2.6,9.3,27.8,24.3,29.2,23.2,26.4,5.72,7.58
"2017-08-23","Ashland Bottoms",27.0,10.4,70.4,0,1.0,5.1,26.9,21.6,28.6,20.5,27.4,4.67,5.50
"2017-08-24","Ashland Bottoms",26.8,13.4,70.9,0,1.5,6.4,25.3,21.8,26.4,20.9,21.0,4.21,5.18
"2017-08-25","Ashland Bottoms",27.9,16.9,68.6,0,2.0,7.7,26.7,22.4,28.4,22.0,24.2,5.00,6.22
"2017-08-26","Ashland Bottoms",30.7,15.8,74.1,0,1.6,6.4,27.0,22.5,28.6,22.1,21.6,4.56,5.51
"2017-08-27","Ashland Bottoms",29.0,18.6,84.0,12.19,1.3,8.2,27.4,23.2,29.1,22.9,19.5,4.05,4.74
"2017-08-28","Ashland Bottoms",27.0,14.4,75.6,0,1.5,7.2,27.0,22.6,28.5,21.9,27.6,4.93,5.86
"2017-08-29","Ashland Bottoms",26.5,11.7,77.5,0,0.9,5.0,26.7,21.4,28.5,20.4,26.6,4.37,4.94
"2017-08-30","Ashland Bottoms",27.8,11.6,76.7,0,1.0,5.9,26.7,21.3,28.5,20.4,25.6,4.41,5.10
"2017-08-31","Ashland Bottoms",28.2,12.7,76.5,0,1.2,7.0,26.9,21.7,28.7,21.0,25.2,4.47,5.22
"2017-09-01","Ashland Bottoms",27.1,13.2,80.9,0,0.9,4.7,24.9,22.0,26.1,21.4,13.5,2.87,3.41
"2017-09-02","Ashland Bottoms",31.3,16.8,72.2,0,1.6,6.2,26.7,22.2,28.5,21.8,23.2,4.87,5.96
"2017-09-03","Ashland Bottoms",33.9,14.3,71.9,0,1.4,4.8,27.7,22.4,29.6,21.9,23.1,5.06,6.32
"2017-09-04","Ashland Bottoms",28.6,18.5,61.3,0,2.6,7.3,27.1,23.9,28.5,23.8,19.7,5.17,7.05
"2017-09-05","Ashland Bottoms",23.9,9.2,51.7,0,2.6,9.3,25.8,22.2,27.1,21.4,25.8,5.06,6.89
"2017-09-06","Ashland Bottoms",24.2,5.9,61.1,0,1.5,9.0,24.5,19.6,25.9,18.5,25.1,4.24,5.44
"2017-09-07","Ashland Bottoms",29.2,6.2,59.0,0,1.1,5.2,25.1,19.0,26.9,18.0,24.8,4.42,5.59
"2017-09-08","Ashland Bottoms",32.2,13.6,48.3,0,2.2,8.4,25.9,20.7,27.8,20.2,23.8,5.79,7.93
"2017-09-09","Ashland Bottoms",30.0,13.4,53.2,0,2.2,8.0,25.7,21.0,27.4,20.4,23.0,5.31,7.19
"2017-09-10","Ashland Bottoms",28.8,17.2,58.2,0,1.9,7.1,25.3,21.9,26.6,21.5,18.2,4.32,5.67
"2017-09-11","Ashland Bottoms",29.4,12.6,61.1,0,1.0,5.6,26.3,21.0,28.2,20.5,22.3,4.08,4.92
"2017-09-12","Ashland Bottoms",27.9,10.8,69.4,0,0.9,5.3,25.6,20.9,27.2,20.2,19.7,3.56,4.30
"2017-09-13","Ashland Bottoms",32.0,10.7,61.3,0,1.2,5.0,26.0,20.6,27.9,19.9,22.0,4.48,5.74